gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verticalDatum	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceFromCentroidInMeters	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated	relativeOrganismQuantity	projectId	isSequenced	gbifRegion	publishedByGbifRegion	level0Gid	level0Name	level1Gid	level1Name	level2Gid	level2Name	level3Gid	level3Name	iucnRedListCategory
895207396			es	CC_BY_NC_4_0	2023-05-05T07:53:05Z				PhysicalObject				VAL	VAL	Colección de plantas vasculares del herbario de la Universitat de València (VAL)		PRESERVED_SPECIMEN				511598D2-2C57-4F84-8288-10583F6F268F	191728-1		Medina & al.															PRESENT	Pliego																					LM4151	2007-06-25		176	176	2007	6	25	25/06/2007	crops on clay										EUROPE				GR	Arkadia			Tsakou, between Tripoli and Nesleri									37.58	22.42	100.0																																																	Filago L.								Plantae	Tracheophyta	Magnoliopsida	Asterales		Asteraceae				Filago	Filago						GENUS				ACCEPTED			834a4794-f762-11e1-a439-00145eb45e9a	ES	2025-02-06T20:40:43.789Z	716.0	0.0				GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY		true	false	3115745	3115745	6	7707728	220	414	3065	3115745				Filago L.	Filago		EML	2025-02-06T20:40:43.789Z	2025-01-18T21:20:01.818Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.23_1	Tripoli	
895206911			es	CC_BY_NC_4_0	2023-05-05T07:53:05Z				PhysicalObject				VAL	VAL	Colección de plantas vasculares del herbario de la Universitat de València (VAL)		PRESERVED_SPECIMEN				42B37590-12BC-4605-8985-31C9D6F9F8C9	191118-1		Medina & al.															PRESENT	Pliego																					LM4150	2007-06-25		176	176	2007	6	25	25/06/2007	crops on clay										EUROPE				GR	Arkadia			Tsakou, between Tripoli and Nesleri									37.58	22.42	100.0																																			E. Rico														Tolpis virgata (Desf.) Bertol.								Plantae	Tracheophyta	Magnoliopsida	Asterales		Asteraceae				Tolpis	Tolpis			virgata			SPECIES				ACCEPTED			834a4794-f762-11e1-a439-00145eb45e9a	ES	2025-02-06T20:40:41.781Z	716.0	0.0				GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;IDENTIFIED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY		true	false	3097191	3097191	6	7707728	220	414	3065	3097145		3097191	Tolpis virgata	Tolpis virgata (Desf.) Bertol.	Tolpis virgata Bertol.		EML	2025-02-06T20:40:41.781Z	2025-01-18T21:20:01.818Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.23_1	Tripoli	NE
895206884			es	CC_BY_NC_4_0	2023-05-05T07:53:05Z				PhysicalObject				VAL	VAL	Colección de plantas vasculares del herbario de la Universitat de València (VAL)		PRESERVED_SPECIMEN				393C215B-F8B7-496A-B954-CEB7A9CE18B9	191117-1		Medina & al.															PRESENT	Pliego																					LM4149	2007-06-25		176	176	2007	6	25	25/06/2007	crops on clay										EUROPE				GR	Arkadia			Tsakou, between Tripoli and Nesleri									37.58	22.42	100.0																																			E. Rico														Urospermum picroides (L.) Scop. ex F.W.Schmidt								Plantae	Tracheophyta	Magnoliopsida	Asterales		Asteraceae				Urospermum	Urospermum			picroides			SPECIES				ACCEPTED			834a4794-f762-11e1-a439-00145eb45e9a	ES	2025-02-06T20:40:40.672Z	716.0	0.0				GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;IDENTIFIED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY		true	false	3096624	3096624	6	7707728	220	414	3065	3096621		3096624	Urospermum picroides	Urospermum picroides (L.) Scop. ex F.W.Schmidt	Urospermum picroides (L.) Scop. ex F.W. Schmidt		EML	2025-02-06T20:40:40.672Z	2025-01-18T21:20:01.818Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.23_1	Tripoli	NE
895206860			es	CC_BY_NC_4_0	2023-05-05T07:53:05Z				PhysicalObject				VAL	VAL	Colección de plantas vasculares del herbario de la Universitat de València (VAL)		PRESERVED_SPECIMEN				03840DB7-A259-4650-9DCE-00BD4B1183C9	191116-1		Medina & al.															PRESENT	Pliego																					LM4148	2007-06-25		176	176	2007	6	25	25/06/2007	crops on clay										EUROPE				GR	Arkadia			Tsakou, between Tripoli and Nesleri									37.58	22.42	100.0																																																	Galium verum L.								Plantae	Tracheophyta	Magnoliopsida	Gentianales		Rubiaceae				Galium	Galium			verum			SPECIES				ACCEPTED			834a4794-f762-11e1-a439-00145eb45e9a	ES	2025-02-06T20:40:26.856Z	716.0	0.0				GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY		true	false	9063248	9063248	6	7707728	220	412	8798	2913027		9063248	Galium verum	Galium verum L.	Galium verum L.		EML	2025-02-06T20:40:26.856Z	2025-01-18T21:20:01.818Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.23_1	Tripoli	NE
895206835			es	CC_BY_NC_4_0	2023-05-05T07:53:05Z				PhysicalObject				VAL	VAL	Colección de plantas vasculares del herbario de la Universitat de València (VAL)		PRESERVED_SPECIMEN			{Exsiccata: datum WGS84}	6C2A8FCD-AE1B-4169-A24C-3B8020A4E2C6	191115-1		Medina & al.															PRESENT	Pliego							7 m tree														LM4147	2007-06-25		176	176	2007	6	25	25/06/2007	crops on clay										EUROPE				GR	Arkadia			Tsakou, between Tripoli and Nesleri									37.58	22.42	100.0																																			E. Rico														Pyrus elaeagrifolia Pall.								Plantae	Tracheophyta	Magnoliopsida	Rosales		Rosaceae				Pyrus	Pyrus			elaeagrifolia			SPECIES				ACCEPTED			834a4794-f762-11e1-a439-00145eb45e9a	ES	2025-02-06T20:40:46.789Z	716.0	0.0				GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_FUZZY;IDENTIFIED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY		true	false	5362828	5362828	6	7707728	220	691	5015	2986532		5362828	Pyrus elaeagrifolia	Pyrus elaeagrifolia Pall.	Pyrus eleagrifolia Pall.		EML	2025-02-06T20:40:46.789Z	2025-01-18T21:20:01.818Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.23_1	Tripoli	DD
895206810			es	CC_BY_NC_4_0	2023-05-05T07:53:05Z				PhysicalObject				VAL	VAL	Colección de plantas vasculares del herbario de la Universitat de València (VAL)		PRESERVED_SPECIMEN				382CF78B-7299-45F3-95EF-05E9A9B21502	191114-1		Medina & al.															PRESENT	Pliego																					LM4146	2007-06-25		176	176	2007	6	25	25/06/2007	crops on clay										EUROPE				GR	Arkadia			Tsakou, between Tripoli and Nesleri									37.58	22.42	100.0																																			E. Rico														Dianthus diffusus Sm.								Plantae	Tracheophyta	Magnoliopsida	Caryophyllales		Caryophyllaceae				Dianthus	Dianthus			diffusus			SPECIES				ACCEPTED			834a4794-f762-11e1-a439-00145eb45e9a	ES	2025-02-06T20:40:41.036Z	716.0	0.0				GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;IDENTIFIED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY		true	false	8226681	8226681	6	7707728	220	422	2518	3085411		8226681	Dianthus diffusus	Dianthus diffusus Sm.	Dianthus diffusus Sibth. & Sm.		EML	2025-02-06T20:40:41.036Z	2025-01-18T21:20:01.818Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.23_1	Tripoli	NE
895206785			es	CC_BY_NC_4_0	2023-05-05T07:53:05Z				PhysicalObject				VAL	VAL	Colección de plantas vasculares del herbario de la Universitat de València (VAL)		PRESERVED_SPECIMEN				A269D85D-977B-4680-8AA6-E5CFAC294720	191113-1		Medina & al.															PRESENT	Pliego																					LM4145	2007-06-25		176	176	2007	6	25	25/06/2007	crops on clay										EUROPE				GR	Arkadia			Tsakou, between Tripoli and Nesleri									37.58	22.42	100.0																																			E. Rico														Carex flacca Schreb.								Plantae	Tracheophyta	Liliopsida	Poales		Cyperaceae				Carex	Carex			flacca			SPECIES				ACCEPTED			834a4794-f762-11e1-a439-00145eb45e9a	ES	2025-02-06T20:40:49.621Z	716.0	0.0				GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;IDENTIFIED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY		true	false	2727938	2727938	6	7707728	196	1369	7708	2721893		2727938	Carex flacca	Carex flacca Schreb.	Carex flacca Schreb.		EML	2025-02-06T20:40:49.621Z	2025-01-18T21:20:01.818Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.23_1	Tripoli	NE
895206758			es	CC_BY_NC_4_0	2023-05-05T07:53:05Z				PhysicalObject				VAL	VAL	Colección de plantas vasculares del herbario de la Universitat de València (VAL)		PRESERVED_SPECIMEN				31D2248B-0786-47DB-B975-09C13237858D	191112-1		Medina & al.															PRESENT	Pliego																					LM4136	2007-06-25		176	176	2007	6	25	25/06/2007	crops on clay										EUROPE				GR	Arkadia			Tsakou, between Tripoli and Nesleri									37.58	22.42	100.0																																			E. Rico														Centaurea solstitialis L.								Plantae	Tracheophyta	Magnoliopsida	Asterales		Asteraceae				Centaurea	Centaurea			solstitialis			SPECIES				ACCEPTED			834a4794-f762-11e1-a439-00145eb45e9a	ES	2025-02-06T20:40:39.440Z	716.0	0.0				GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;IDENTIFIED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY		true	false	3128888	3128888	6	7707728	220	414	3065	3127469		3128888	Centaurea solstitialis	Centaurea solstitialis L.	Centaurea solstitialis L.		EML	2025-02-06T20:40:39.440Z	2025-01-18T21:20:01.818Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.23_1	Tripoli	NE
895206736			es	CC_BY_NC_4_0	2023-05-05T07:53:05Z				PhysicalObject				VAL	VAL	Colección de plantas vasculares del herbario de la Universitat de València (VAL)		PRESERVED_SPECIMEN				90495189-380A-42EA-83F7-71D95546631E	191111-1		Medina & al.															PRESENT	Pliego																					LM4135	2007-06-25		176	176	2007	6	25	25/06/2007	crops on clay										EUROPE				GR	Arkadia			Tsakou, between Tripoli and Nesleri									37.58	22.42	100.0																																																	Vitis vinifera L.								Plantae	Tracheophyta	Magnoliopsida	Vitales		Vitaceae				Vitis	Vitis			vinifera			SPECIES				ACCEPTED			834a4794-f762-11e1-a439-00145eb45e9a	ES	2025-02-06T20:40:49.474Z	716.0	0.0				GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY		true	false	5372392	5372392	6	7707728	220	7222050	6672	7467468		5372392	Vitis vinifera	Vitis vinifera L.	Vitis vinifera L.		EML	2025-02-06T20:40:49.474Z	2025-01-18T21:20:01.818Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.23_1	Tripoli	LC
895206685			es	CC_BY_NC_4_0	2023-05-05T07:53:05Z				PhysicalObject				VAL	VAL	Colección de plantas vasculares del herbario de la Universitat de València (VAL)		PRESERVED_SPECIMEN				CF58AF33-26DB-4DD8-BB55-05237CA78A62	191110-1		Medina & al.															PRESENT	Pliego																					LM4134	2007-06-25		176	176	2007	6	25	25/06/2007	crops on clay										EUROPE				GR	Arkadia			Tsakou, between Tripoli and Nesleri									37.58	22.42	100.0																																			E. Rico														Centaurea calcitrapa L.								Plantae	Tracheophyta	Magnoliopsida	Asterales		Asteraceae				Centaurea	Centaurea			calcitrapa			SPECIES				ACCEPTED			834a4794-f762-11e1-a439-00145eb45e9a	ES	2025-02-06T20:40:53.798Z	716.0	0.0				GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;IDENTIFIED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY		true	false	3128483	3128483	6	7707728	220	414	3065	3127469		3128483	Centaurea calcitrapa	Centaurea calcitrapa L.	Centaurea calcitrapa L.		EML	2025-02-06T20:40:53.798Z	2025-01-18T21:20:01.818Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.23_1	Tripoli	NE
895206660			es	CC_BY_NC_4_0	2023-05-05T07:53:05Z				PhysicalObject				VAL	VAL	Colección de plantas vasculares del herbario de la Universitat de València (VAL)		PRESERVED_SPECIMEN				27921E32-9C5E-4E54-9D9C-23A922FCAB79	191109-1		Medina & al.															PRESENT	Pliego																					LM4133	2007-06-25		176	176	2007	6	25	25/06/2007	crops on clay										EUROPE				GR	Arkadia			Tsakou, between Tripoli and Nesleri									37.58	22.42	100.0																																																	Beckmannia eruciformis (L.) Host								Plantae	Tracheophyta	Liliopsida	Poales		Poaceae				Beckmannia	Beckmannia			eruciformis			SPECIES				ACCEPTED			834a4794-f762-11e1-a439-00145eb45e9a	ES	2025-02-06T20:40:38.368Z	716.0	0.0				GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY		true	false	5290063	5290063	6	7707728	196	1369	3073	2705202		5290063	Beckmannia eruciformis	Beckmannia eruciformis (L.) Host	Beckmannia eruciformis (L.) Host.		EML	2025-02-06T20:40:38.368Z	2025-01-18T21:20:01.818Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.23_1	Tripoli	LC
895206632			es	CC_BY_NC_4_0	2023-05-05T07:53:05Z				PhysicalObject				VAL	VAL	Colección de plantas vasculares del herbario de la Universitat de València (VAL)		PRESERVED_SPECIMEN				EAE59A98-0054-4EF7-BB20-01377C58B0B7	191108-1		Medina & al.															PRESENT	Pliego																					LM4132	2007-06-25		176	176	2007	6	25	25/06/2007	crops on clay										EUROPE				GR	Arkadia			Tsakou, between Tripoli and Nesleri									37.58	22.42	100.0																																	gr																Odontites vernus (Bellardi) Dumort.								Plantae	Tracheophyta	Magnoliopsida	Lamiales		Orobanchaceae				Odontites	Odontites			vernus			SPECIES				ACCEPTED			834a4794-f762-11e1-a439-00145eb45e9a	ES	2025-02-06T20:40:54.088Z	716.0	0.0				GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY		true	false	8971475	8971475	6	7707728	220	408	6651	3172217		8971475	Odontites vernus	Odontites vernus (Bellardi) Dumort.	Odontites vernus (Bellardi) Dumort.		EML	2025-02-06T20:40:54.088Z	2025-01-18T21:20:01.818Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.23_1	Tripoli	NE
895206430			es	CC_BY_NC_4_0	2023-05-05T07:53:05Z				PhysicalObject				VAL	VAL	Colección de plantas vasculares del herbario de la Universitat de València (VAL)		PRESERVED_SPECIMEN				F8EA08C8-BEA7-4B18-A98B-DA3499649473	191122-1		Medina & al.															PRESENT	Pliego																					LM4158	2007-06-25		176	176	2007	6	25	25/06/2007	crops on clay										EUROPE				GR	Arkadia			Tsakou, between Tripoli and Nesleri									37.58	22.42	100.0																																			E. Rico														Phalaris coerulescens Desf.								Plantae	Tracheophyta	Liliopsida	Poales		Poaceae				Phalaris	Phalaris			coerulescens			SPECIES				ACCEPTED			834a4794-f762-11e1-a439-00145eb45e9a	ES	2025-02-06T20:40:54.681Z	716.0	0.0				GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;IDENTIFIED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY		true	false	5289751	5289751	6	7707728	196	1369	3073	2703277		5289751	Phalaris coerulescens	Phalaris coerulescens Desf.	Phalaris coerulescens Desf.		EML	2025-02-06T20:40:54.681Z	2025-01-18T21:20:01.818Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.23_1	Tripoli	NE
895206400			es	CC_BY_NC_4_0	2023-05-05T07:53:05Z				PhysicalObject				VAL	VAL	Colección de plantas vasculares del herbario de la Universitat de València (VAL)		PRESERVED_SPECIMEN				5C622021-C5AF-4E0D-9466-088A4E33E79B	191121-1		Medina & al.															PRESENT	Pliego																					LM4156	2007-06-25		176	176	2007	6	25	25/06/2007	crops on clay										EUROPE				GR	Arkadia			Tsakou, between Tripoli and Nesleri									37.58	22.42	100.0																																			E. Rico														Avena barbata Pott ex Link								Plantae	Tracheophyta	Liliopsida	Poales		Poaceae				Avena	Avena			barbata			SPECIES				ACCEPTED			834a4794-f762-11e1-a439-00145eb45e9a	ES	2025-02-06T20:40:45.430Z	716.0	0.0				GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;IDENTIFIED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY		true	false	2705300	2705300	6	7707728	196	1369	3073	2705282		2705300	Avena barbata	Avena barbata Pott ex Link	Avena barbata Pott ex Link		EML	2025-02-06T20:40:45.430Z	2025-01-18T21:20:01.818Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.23_1	Tripoli	NE
895206383			es	CC_BY_NC_4_0	2023-05-05T07:53:05Z				PhysicalObject				VAL	VAL	Colección de plantas vasculares del herbario de la Universitat de València (VAL)		PRESERVED_SPECIMEN				163086A6-9090-491A-0AD7-7CFE4A29248B	191120-1		Medina & al.															PRESENT	Pliego																					LM4155	2007-06-25		176	176	2007	6	25	25/06/2007	crops on clay										EUROPE				GR	Arkadia			Tsakou, between Tripoli and Nesleri									37.58	22.42	100.0																																			E. Rico														Agrostis castellana Boiss. & Reut.								Plantae	Tracheophyta	Liliopsida	Poales		Poaceae				Agrostis	Agrostis			castellana			SPECIES				ACCEPTED			834a4794-f762-11e1-a439-00145eb45e9a	ES	2025-02-06T20:40:35.796Z	716.0	0.0				GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;IDENTIFIED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY		true	false	2706501	2706501	6	7707728	196	1369	3073	2706434		2706501	Agrostis castellana	Agrostis castellana Boiss. & Reut.	Agrostis castellana Boiss. & Reut.		EML	2025-02-06T20:40:35.796Z	2025-01-18T21:20:01.818Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.23_1	Tripoli	NE
895206351			es	CC_BY_NC_4_0	2023-05-05T07:53:05Z				PhysicalObject				VAL	VAL	Colección de plantas vasculares del herbario de la Universitat de València (VAL)		PRESERVED_SPECIMEN				F4FDB570-10D1-43C1-8F29-C09AC3F793D9	191119-1		Medina & al.															PRESENT	Pliego																					LM4152	2007-06-25		176	176	2007	6	25	25/06/2007	crops on clay										EUROPE				GR	Arkadia			Tsakou, between Tripoli and Nesleri									37.58	22.42	100.0																																																	Holcus lanatus L.								Plantae	Tracheophyta	Liliopsida	Poales		Poaceae				Holcus	Holcus			lanatus			SPECIES				ACCEPTED			834a4794-f762-11e1-a439-00145eb45e9a	ES	2025-02-06T20:40:54.890Z	716.0	0.0				GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY		true	false	2706164	2706164	6	7707728	196	1369	3073	2706162		2706164	Holcus lanatus	Holcus lanatus L.	Holcus lanatus L.		EML	2025-02-06T20:40:54.890Z	2025-01-18T21:20:01.818Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.23_1	Tripoli	NE
5188450380				CC_BY_NC_4_0	2025-06-11T09:28:19Z		https://www.inaturalist.org/observations/288448861	Thanos					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/288448861	288448861		Thanos															PRESENT																							2024-12-08T12:16:37	12:16:37+02:00	343	343	2024	12	8	2024-12-08 12:16:37											EUROPE				GR	Peloponnese, Western Greece and the Ionian Islands				Peloponnese, Peloponnese, Western Greece and the Ionian Islands, GR								37.623793	22.352791	68.0																															646745937				Victoria Tang		2025-06-10T17:19:46				356352								Iurus dufoureius (Brulle, 1832)								Animalia	Arthropoda	Arachnida	Scorpiones		Iuridae				Iurus	Iurus			dufoureius			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2025-06-25T03:45:04.369Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	4553892	4553892	1	54	367	872	3253211	4405566		4553892	Iurus dufoureius	Iurus dufoureius (Brulle, 1832)	Iurus dufoureius		DWC_ARCHIVE	2025-06-25T03:45:04.369Z	2025-06-24T16:48:00.587Z	true		https://www.inaturalist.org/projects/scorpions-of-the-world	false	EUROPE	NORTH_AMERICA	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.23_1	Tripoli	NE
5187560581				CC_BY_NC_4_0	2025-06-08T07:35:33Z		https://www.inaturalist.org/observations/285987783	tiercs					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/285987783	285987783		tiercs															PRESENT																							2025-06-01T18:59:51	18:59:51+03:00	152	152	2025	6	1	2025-06-01 18:59:51+03:00											EUROPE				GR	Peloponnese, Western Greece and the Ionian Islands				Nestani, Peloponnese, GR								37.59923	22.436088	4.0																															641859995				tiercs		2025-06-01T16:05:06				70071								Hyles euphorbiae Linnaeus, 1758								Animalia	Arthropoda	Insecta	Lepidoptera		Sphingidae				Hyles	Hyles			euphorbiae			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2025-06-25T02:49:16.201Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	1862719	1862719	1	54	216	797	8868	1862681		1862719	Hyles euphorbiae	Hyles euphorbiae Linnaeus, 1758	Hyles euphorbiae		DWC_ARCHIVE	2025-06-25T02:49:16.201Z	2025-06-24T16:48:00.587Z	true			false	EUROPE	NORTH_AMERICA	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.23_1	Tripoli	NE
