gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verticalDatum	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceFromCentroidInMeters	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated	relativeOrganismQuantity	projectId	isSequenced	gbifRegion	publishedByGbifRegion	level0Gid	level0Name	level1Gid	level1Name	level2Gid	level2Name	level3Gid	level3Name	iucnRedListCategory
5171360332				CC_BY_NC_4_0	2025-05-29T09:17:00Z			Stichting Observation International									HUMAN_OBSERVATION				https://observation.org/observation/333305068			User 143988		1				Imago									PRESENT																					Observation		2024-09-14	13:15	258	258	2024	9	14		unknown	unknown									EUROPE				GR	Peloponnese			Peloponnese - Arcadia									37.689426	22.042935	9.0																																							Approved | Expert | Evidence										Villa Lioy, 1864								Animalia	Arthropoda	Insecta	Diptera		Bombyliidae				Villa	Villa						GENUS				ACCEPTED			8a863029-f435-446a-821e-275f4f641165	NL	2025-07-01T23:38:31.699Z							StillImage	true	false	1671382	1671382	1	54	216	811	7285	1671382				Villa Lioy, 1864	Villa spec.		DWC_ARCHIVE	2025-07-01T23:38:31.699Z	2025-07-01T18:22:12.617Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.9_1	Gortynia	
5134745737				CC_BY_NC_4_0	2025-04-14T08:19:00Z		https://www.inaturalist.org/observations/269572526	felicitybarringeroutlookcom					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION	Coordinate uncertainty increased to 28359m at the request of the observer			https://www.inaturalist.org/observations/269572526	269572526		felicitybarringeroutlookcom															PRESENT																							2025-04-10T11:08:25	11:08:25+03:00	100	100	2025	4	10	2025-04-10 11:08:25+03:00											EUROPE				GR	Peloponnese, Western Greece and the Ionian Islands				Peloponnese, Peloponnese, Western Greece and the Ionian Islands, GR								37.745353	22.034358	28359.0																															611122291				Stamatis Kalogiannis	https://orcid.org/0000-0002-0249-1806	2025-04-10T14:24:42				35871								Lacerta trilineata Bedriaga, 1886								Animalia	Chordata	Squamata			Lacertidae				Lacerta	Lacerta			trilineata			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2025-06-25T06:50:49.054Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	6159197	6159197	1	44	11592253		5201	2469780		6159197	Lacerta trilineata	Lacerta trilineata Bedriaga, 1886	Lacerta trilineata		DWC_ARCHIVE	2025-06-25T06:50:49.054Z	2025-06-24T16:48:00.587Z	true			false	EUROPE	NORTH_AMERICA	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.9_1	Gortynia	LC
5134027303				CC_BY_NC_4_0	2025-04-19T19:45:19Z		https://www.inaturalist.org/observations/271101825	mat_p					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/271101825	271101825		mat_p															PRESENT																							2025-04-17T15:31	15:31:00+03:00	107	107	2025	4	17	2025/04/17 15:31											EUROPE				GR	Peloponnese, Western Greece and the Ionian Islands				Περιφέρεια Πελοποννήσου, Ελλάδα								37.776744	22.05675	31.0																															614246713				mat_p		2025-04-17T22:42:20				61536								Calopteryx virgo (Linnaeus, 1758)								Animalia	Arthropoda	Insecta	Odonata		Calopterygidae				Calopteryx	Calopteryx			virgo			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2025-06-25T06:51:00.595Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	1427037	1427037	1	54	216	789	4211	1427007		1427037	Calopteryx virgo	Calopteryx virgo (Linnaeus, 1758)	Calopteryx virgo		DWC_ARCHIVE	2025-06-25T06:51:00.595Z	2025-06-24T16:48:00.587Z	true			false	EUROPE	NORTH_AMERICA	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.9_1	Gortynia	LC
5134015389				CC_BY_NC_4_0	2025-04-19T04:59:05Z		https://www.inaturalist.org/observations/271101475	mat_p					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/271101475	271101475		mat_p															PRESENT																							2025-04-17T14:59	14:59:00+03:00	107	107	2025	4	17	2025/04/17 14:59											EUROPE				GR	Peloponnese, Western Greece and the Ionian Islands				Περιφέρεια Πελοποννήσου, Ελλάδα								37.779447	22.058448	8.0																															614246081				mat_p		2025-04-17T22:40:01				52771								Gonepteryx rhamni (Linnaeus, 1758)								Animalia	Arthropoda	Insecta	Lepidoptera		Pieridae				Gonepteryx	Gonepteryx			rhamni			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2025-06-25T04:46:43.145Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	1920712	1920712	1	54	216	797	5481	1920704		1920712	Gonepteryx rhamni	Gonepteryx rhamni (Linnaeus, 1758)	Gonepteryx rhamni		DWC_ARCHIVE	2025-06-25T04:46:43.145Z	2025-06-24T16:48:00.587Z	true		https://www.inaturalist.org/projects/io-database	false	EUROPE	NORTH_AMERICA	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.9_1	Gortynia	NE
5109189986				CC_BY_4_0			https://identify.plantnet.org/weurope/observations/1009457814										HUMAN_OBSERVATION				o-1009457814					1													PRESENT																							2021-01-15T10:27:33Z		15	15	2021	1	15												EUROPE				GR													37.691494	22.060337																																																		Limodorum abortivum (L.) Sw.								Plantae	Tracheophyta	Liliopsida	Asparagales		Orchidaceae				Limodorum	Limodorum			abortivum			SPECIES				ACCEPTED			7a3679ef-5582-4aaa-81f0-8c2545cafc81	FR	2025-04-16T12:58:28.797Z	1248.39	0.0				COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES	StillImage	true	false	5312179	5312179	6	7707728	196	1169	7689	5312177		5312179	Limodorum abortivum	Limodorum abortivum (L.) Sw.	Limodorum abortivum (L.) Sw.		EML	2025-04-16T12:58:28.797Z	2025-04-16T11:57:58.611Z	true		observations	false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.9_1	Gortynia	NE
5054956640				CC0_1_0									UPS	BOT			PRESERVED_SPECIMEN				UPS:BOT:L-1129894	L-1129894		Linda in Arcadia															PRESENT																						23-Aug-2017/52	2017-08-23		235	235	2017	8	23		Rock limestone										EUROPE				GR	Peloponnisos	Arkadia		Peloponnese. 3 km W of Valtesiniko		1160							37.708	22.066																																																		Myriolecis pruinosa (Chaub.) Śliwa, Zhao Xin & Lumbsch								Fungi	Ascomycota	Lecanoromycetes	Lecanorales		Lecanoraceae				Polyozosia	Myriolecis			pruinosa			SPECIES				SYNONYM			c1a13bf0-0c71-11dd-84d4-b8a03c50a862	SE	2025-02-13T18:34:02.958Z						GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH		true	false	10988896	10708300	5	95	180	1048	4828	3403052		10708300	Polyozosia pruinosa	Polyozosia pruinosa (Chaub.) S.Y.Kondr., Lőkös & Farkas	Myriolecis pruinosa		EML	2025-02-13T18:34:02.958Z	2025-02-13T15:20:28.217Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.9_1	Gortynia	NE
5054956637				CC0_1_0									UPS	BOT			PRESERVED_SPECIMEN				UPS:BOT:L-1129876	L-1129876		Linda in Arcadia															PRESENT																						23-Aug-2017/68	2017-08-23		235	235	2017	8	23		Rock siliceous										EUROPE				GR	Peloponnisos	Arkadia		Peloponnese. 3 km W of Valtesiniko		1160							37.708	22.066																																																		Glaucomaria rupicola (L.) P.F.Cannon								Fungi	Ascomycota	Lecanoromycetes	Lecanorales		Lecanoraceae				Glaucomaria	Glaucomaria			rupicola			SPECIES				ACCEPTED			c1a13bf0-0c71-11dd-84d4-b8a03c50a862	SE	2025-02-13T18:34:02.958Z						GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH		true	false	12180218	12180218	5	95	180	1048	4828	7248846		12180218	Glaucomaria rupicola	Glaucomaria rupicola (L.) P.F.Cannon	Glaucomaria rupicola var. rupicola		EML	2025-02-13T18:34:02.958Z	2025-02-13T15:20:28.217Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.9_1	Gortynia	NE
5054956634				CC0_1_0									UPS	BOT			PRESERVED_SPECIMEN				UPS:BOT:L-1129862	L-1129862		Linda in Arcadia															PRESENT																						23-Aug-2017/62	2017-08-23		235	235	2017	8	23		Rock siliceous										EUROPE				GR	Peloponnisos	Arkadia		Peloponnese. 3 km W of Valtesiniko		1160							37.708	22.066																																																		Protoparmeliopsis bolcana (Pollini) Lumbsch								Fungi	Ascomycota	Lecanoromycetes	Lecanorales		Lecanoraceae				Protoparmeliopsis	Protoparmeliopsis			bolcana			SPECIES				ACCEPTED			c1a13bf0-0c71-11dd-84d4-b8a03c50a862	SE	2025-02-13T18:34:02.958Z						GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH		true	false	10889827	10889827	5	95	180	1048	4828	7248516		10889827	Protoparmeliopsis bolcana	Protoparmeliopsis bolcana (Pollini) Lumbsch	Protoparmeliopsis bolcana		EML	2025-02-13T18:34:02.958Z	2025-02-13T15:20:28.217Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.9_1	Gortynia	NE
5054956621				CC0_1_0									UPS	BOT			PRESERVED_SPECIMEN				UPS:BOT:L-1129795	L-1129795		Linda in Arcadia															PRESENT																						23-Aug-2017/49	2017-08-23		235	235	2017	8	23		Rock limestone										EUROPE				GR	Peloponnisos	Arkadia		Peloponnese. 3 km W of Valtesiniko		1160							37.708	22.066																																																		Placynthium nigrum (Huds.) Gray								Fungi	Ascomycota	Lecanoromycetes	Peltigerales		Placynthiaceae				Placynthium	Placynthium			nigrum			SPECIES				ACCEPTED			c1a13bf0-0c71-11dd-84d4-b8a03c50a862	SE	2025-02-13T18:34:02.957Z						GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH		true	false	7250436	7250436	5	95	180	1055	4118	2601073		7250436	Placynthium nigrum	Placynthium nigrum (Huds.) Gray	Placynthium nigrum		EML	2025-02-13T18:34:02.957Z	2025-02-13T15:20:28.217Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.9_1	Gortynia	NE
5054956601				CC0_1_0									UPS	BOT			PRESERVED_SPECIMEN				UPS:BOT:L-1129696	L-1129696		Linda in Arcadia															PRESENT																						23-Aug-2017/71	2017-08-23		235	235	2017	8	23		Rock siliceous										EUROPE				GR	Peloponnisos	Arkadia		Peloponnese. Methana peninsula, above Agios Nikolaos		1160							37.708	22.066																																																		Catillaria chalybeia (Borrer) A.Massal.								Fungi	Ascomycota	Lecanoromycetes	Lecanorales		Catillariaceae				Catillaria	Catillaria			chalybeia			SPECIES				ACCEPTED			c1a13bf0-0c71-11dd-84d4-b8a03c50a862	SE	2025-02-13T18:34:02.949Z						GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH		true	false	10924374	10924374	5	95	180	1048	4833	2582007		10924374	Catillaria chalybeia	Catillaria chalybeia (Borrer) A.Massal.	Catillaria chalybeia var. chalybeia		EML	2025-02-13T18:34:02.949Z	2025-02-13T15:20:28.217Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.9_1	Gortynia	NE
5054953657				CC0_1_0									UPS	BOT			PRESERVED_SPECIMEN				UPS:BOT:L-1130060	L-1130060		Linda in Arcadia															PRESENT								Other taxa present: Pertusaria sp.														23-Aug-2017/37	2017-08-23		235	235	2017	8	23		Bark Abies cephalonica										EUROPE				GR	Peloponnisos	Arkadia		Peloponnese. 3 km W of Valtesiniko		1160							37.708	22.066																																																		Lecanora Ach., 1809								Fungi	Ascomycota	Lecanoromycetes	Lecanorales		Lecanoraceae				Lecanora	Lecanora						GENUS				ACCEPTED			c1a13bf0-0c71-11dd-84d4-b8a03c50a862	SE	2025-02-13T18:34:02.999Z						GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH		true	false	2569863	2569863	5	95	180	1048	4828	2569863				Lecanora Ach., 1809	Lecanora		EML	2025-02-13T18:34:02.999Z	2025-02-13T15:20:28.217Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.9_1	Gortynia	NE
5054953569				CC0_1_0									UPS	BOT			PRESERVED_SPECIMEN				UPS:BOT:L-1129620	L-1129620		Linda in Arcadia															PRESENT																						23-Aug-2017/75	2017-08-23		235	235	2017	8	23		Rock siliceous										EUROPE				GR	Peloponnisos	Arkadia		Peloponnese. 3 km W of Valtesiniko		1160							37.708	22.066																																																		Buellia ocellata (Flörke ex Flot.) Körb.								Fungi	Ascomycota	Lecanoromycetes	Caliciales		Caliciaceae				Buellia	Buellia			ocellata			SPECIES				ACCEPTED			c1a13bf0-0c71-11dd-84d4-b8a03c50a862	SE	2025-02-13T18:34:02.990Z						GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH		true	false	2609489	2609489	5	95	180	10861608	4115	2587707		2609489	Buellia ocellata	Buellia ocellata (Flörke ex Flot.) Körb.	Buellia ocellata		EML	2025-02-13T18:34:02.990Z	2025-02-13T15:20:28.217Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.9_1	Gortynia	NE
5054952179				CC0_1_0									UPS	BOT			PRESERVED_SPECIMEN				UPS:BOT:L-1087706	L-1087706		Linda in Arcadia															PRESENT																						23-Aug-2017/9	2017-08-23		235	235	2017	8	23		Bryo on soil										EUROPE				GR	Peloponnisos	Arkadia		Peloponnese. 3 km W of Valtesiniko		1160							37.708	22.066																																																		Scytinium lichenoides (L.) Otálora, P.M.Jørg. & Wedin								Fungi	Ascomycota	Lecanoromycetes	Peltigerales		Collemataceae				Scytinium	Scytinium			lichenoides			SPECIES				ACCEPTED			c1a13bf0-0c71-11dd-84d4-b8a03c50a862	SE	2025-02-13T18:34:02.372Z						GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH		true	false	8532457	8532457	5	95	180	1055	8377	8599966		8532457	Scytinium lichenoides	Scytinium lichenoides (L.) Otálora, P.M.Jørg. & Wedin	Scytinium lichenoides		EML	2025-02-13T18:34:02.372Z	2025-02-13T15:20:28.217Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.9_1	Gortynia	NE
5054952109				CC0_1_0									UPS	BOT			PRESERVED_SPECIMEN				UPS:BOT:L-1079890	L-1079890		Linda in Arcadia															PRESENT																						23-Aug-2017/48	2017-08-23		235	235	2017	8	23		Rock limestone										EUROPE				GR	Peloponnisos	Arkadia		Peloponnese. 3 km W of Valtesiniko		1160							37.708	22.066																																																		Peltigera praetextata (Flörke ex Sommerf.) Zopf								Fungi	Ascomycota	Lecanoromycetes	Peltigerales		Peltigeraceae				Peltigera	Peltigera			praetextata			SPECIES				ACCEPTED			c1a13bf0-0c71-11dd-84d4-b8a03c50a862	SE	2025-02-13T18:34:02.322Z						GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH		true	false	2601162	2601162	5	95	180	1055	8373	2601137		2601162	Peltigera praetextata	Peltigera praetextata (Flörke ex Sommerf.) Zopf	Peltigera praetextata		EML	2025-02-13T18:34:02.322Z	2025-02-13T15:20:28.217Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.9_1	Gortynia	NE
5054952102				CC0_1_0									UPS	BOT			PRESERVED_SPECIMEN				UPS:BOT:L-1079859	L-1079859		Linda in Arcadia															PRESENT																						23-Aug-2017/16	2017-08-23		235	235	2017	8	23		Bark Abies cephalonica										EUROPE				GR	Peloponnisos	Arkadia		Peloponnese. 3 km W of Valtesiniko		1160							37.708	22.066																																																		Lobaria pulmonaria (L.) Hoffm.								Fungi	Ascomycota	Lecanoromycetes	Peltigerales		Lobariaceae				Lobaria	Lobaria			pulmonaria			SPECIES				ACCEPTED			c1a13bf0-0c71-11dd-84d4-b8a03c50a862	SE	2025-02-13T18:34:02.322Z						GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH		true	false	5260693	5260693	5	95	180	1055	8375	2600355		5260693	Lobaria pulmonaria	Lobaria pulmonaria (L.) Hoffm.	Lobaria pulmonaria		EML	2025-02-13T18:34:02.322Z	2025-02-13T15:20:28.217Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.9_1	Gortynia	NE
5054952097				CC0_1_0									UPS	BOT			PRESERVED_SPECIMEN				UPS:BOT:L-1079719	L-1079719		Linda in Arcadia															PRESENT																						23-Aug-2017/40	2017-08-23		235	235	2017	8	23		Bark Abies cephalonica										EUROPE				GR	Peloponnisos	Arkadia		Peloponnese. 3 km W of Valtesiniko		1160							37.708	22.066																																																		Rinodina septentrionalis Malme								Fungi	Ascomycota	Lecanoromycetes	Caliciales		Physciaceae				Rinodina	Rinodina			septentrionalis			SPECIES				ACCEPTED			c1a13bf0-0c71-11dd-84d4-b8a03c50a862	SE	2025-02-13T18:34:02.322Z						GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH		true	false	3428774	3428774	5	95	180	10861608	8369	2599871		3428774	Rinodina septentrionalis	Rinodina septentrionalis Malme	Rinodina septentrionalis		EML	2025-02-13T18:34:02.322Z	2025-02-13T15:20:28.217Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.9_1	Gortynia	NE
5054952077				CC0_1_0									UPS	BOT			PRESERVED_SPECIMEN				UPS:BOT:L-1079480	L-1079480		Linda in Arcadia															PRESENT																						23-Aug-2017/32	2017-08-23		235	235	2017	8	23		Bark Abies cephalonica										EUROPE				GR	Peloponnisos	Arkadia		Peloponnese. 3 km W of Valtesiniko		1160							37.708	22.066																																																		Physconia distorta (With.) J.R.Laundon								Fungi	Ascomycota	Lecanoromycetes	Caliciales		Physciaceae				Physconia	Physconia			distorta			SPECIES				ACCEPTED			c1a13bf0-0c71-11dd-84d4-b8a03c50a862	SE	2025-02-13T18:34:02.309Z						GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH		true	false	2609422	2609422	5	95	180	10861608	8369	2609402		2609422	Physconia distorta	Physconia distorta (With.) J.R.Laundon	Physconia distorta		EML	2025-02-13T18:34:02.309Z	2025-02-13T15:20:28.217Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.9_1	Gortynia	NE
5054952045				CC0_1_0									UPS	BOT			PRESERVED_SPECIMEN				UPS:BOT:L-1078981	L-1078981		Linda in Arcadia															PRESENT																						23-Aug-2017/60	2017-08-23		235	235	2017	8	23		Rock siliceous										EUROPE				GR	Peloponnisos	Arkadia		Peloponnese. 3 km W of Valtesiniko		1160							37.708	22.066																																																		Xanthoparmelia perrugata (Nyl.) O.Blanco, A.Crespo, Elix, D.Hawksw. & Lumbsch								Fungi	Ascomycota	Lecanoromycetes	Lecanorales		Parmeliaceae				Xanthoparmelia	Xanthoparmelia			perrugata			SPECIES				ACCEPTED			c1a13bf0-0c71-11dd-84d4-b8a03c50a862	SE	2025-02-13T18:34:02.292Z						GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH		true	false	2604719	2604719	5	95	180	1048	8305	2603781		2604719	Xanthoparmelia perrugata	Xanthoparmelia perrugata (Nyl.) O.Blanco, A.Crespo, Elix, D.Hawksw. & Lumbsch	Xanthoparmelia perrugata		EML	2025-02-13T18:34:02.292Z	2025-02-13T15:20:28.217Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.9_1	Gortynia	NE
5054952033				CC0_1_0									UPS	BOT			PRESERVED_SPECIMEN				UPS:BOT:L-1078922	L-1078922		Linda in Arcadia															PRESENT																						23-Aug-2017/22	2017-08-23		235	235	2017	8	23		Bark Abies cephalonica										EUROPE				GR	Peloponnisos	Arkadia		Peloponnese. 3 km W of Valtesiniko		1160							37.708	22.066																																																		Melanelixia glabratula (Lamy ex Nyl.) Sandler & Arup								Fungi	Ascomycota	Lecanoromycetes	Lecanorales		Parmeliaceae				Melanelixia	Melanelixia			glabratula			SPECIES				ACCEPTED			c1a13bf0-0c71-11dd-84d4-b8a03c50a862	SE	2025-02-13T18:34:02.285Z						GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH		true	false	8041387	8041387	5	95	180	1048	8305	2605684		8041387	Melanelixia glabratula	Melanelixia glabratula (Lamy ex Nyl.) Sandler & Arup	Melanelixia glabratula		EML	2025-02-13T18:34:02.285Z	2025-02-13T15:20:28.217Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.9_1	Gortynia	NE
5054952025				CC0_1_0									UPS	BOT			PRESERVED_SPECIMEN				UPS:BOT:L-1078701	L-1078701		Linda in Arcadia															PRESENT																						23-Aug-2017/21	2017-08-23		235	235	2017	8	23		Bark Abies cephalonica										EUROPE				GR	Peloponnisos	Arkadia		Peloponnese. 3 km W of Valtesiniko		1160							37.708	22.066																																																		Melanohalea elegantula (Zahlbr.) O.Blanco, A.Crespo, Divakar, Essl., D.Hawksw. & Lumbsch								Fungi	Ascomycota	Lecanoromycetes	Lecanorales		Parmeliaceae				Melanohalea	Melanohalea			elegantula			SPECIES				ACCEPTED			c1a13bf0-0c71-11dd-84d4-b8a03c50a862	SE	2025-02-13T18:34:02.281Z						GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH		true	false	2605323	2605323	5	95	180	1048	8305	2605303		2605323	Melanohalea elegantula	Melanohalea elegantula (Zahlbr.) O.Blanco, A.Crespo, Divakar, Essl., D.Hawksw. & Lumbsch	Melanohalea elegantula		EML	2025-02-13T18:34:02.281Z	2025-02-13T15:20:28.217Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.9_1	Gortynia	NE
